1	0	19	17	2045	42	5	1500	0	0	0	1	0	0
1	2	20	15	2063	41	9	600	1	0	0	1	0	0
1	0	24	14	-9.01	44	10	1350	0	0	0	1	0	0
1	2	10	15	2641	31	10	400	0	0	0	0	0	0
1	2	12	15	1350	33	10	1700	1	1	0	0	0	0
1	2	15	16	1869	37	8	440	1	1	0	0	0	0
1	2	16	15	2900	37	12	900	1	0	0	0	0	0
1	0	18	18	2500	42	12	650	1	1	0	0	0	0
1	0	26	16	-9.01	48	11	3200	1	1	0	0	0	0
1	2	9	15	2500	30	11	400	1	0	0	0	0	0
1	2	12	16	3500	34	11	1000	1	1	0	0	0	0
1	2	7	18	3841	31	11	1250	1	0	0	0	0	0
1	2	6	18	5000	30	11	1100	1	1	0	0	0	0
1	2	5	15	3000	26	11	1400	1	0	0	1	0	0
1	1	19	15	2500	40	12	700	1	0	0	0	0	0
1	2	15	18	-9.01	39	11	1000	1	1	0	0	0	0
1	1	21	16	3750	43	11	1100	1	0	0	1	0	0
1	0	10	20	1500	36	11	1200	1	1	0	0	0	0
1	2	11	15	2610	32	11	1100	1	1	0	0	0	0
1	1	16	16	3200	38	11	1250	1	1	0	0	0	0
1	2	23	15	2160	44	10	1000	1	0	0	1	0	0
1	2	10	15	-9.01	31	10	1300	0	0	0	1	0	0
1	2	19	14	-9.01	39	10	800	1	0	1	0	0	0
1	1	6	15	1125	27	10	1200	0	0	0	1	0	0
1	1	10	18	3000	34	11	1000	1	0	1	0	0	0
1	1	5	17	4100	28	10	1000	1	1	0	0	0	0
1	2	26	16	1530	48	10	760	1	0	1	0	0	0
1	2	11	15	-9.01	32	11	450	1	0	0	1	0	0
1	1	2	16	3000	24	9	1200	0	0	0	1	0	0
1	2	26	18	1125	50	9	1000	1	0	0	1	0	0
1	2	7	17	1620	30	11	2000	1	0	0	0	0	0
1	2	4	15	2250	25	10	800	1	0	1	0	0	0
1	0	19	18	2000	43	10	900	1	0	0	0	0	0
1	1	12	15	1929	33	10	1100	1	1	0	0	0	0
1	0	19	15	2700	40	10	1000	1	0	0	1	0	0
1	2	14	15	-9.01	35	8	900	1	1	0	0	0	0
1	1	13	15	5000	34	8	1100	1	0	0	1	0	0
1	1	12	15	1800	33	10	1000	1	0	1	0	0	0
1	1	27	16	4219	49	10	650	1	0	0	1	0	0
1	0	28	16	-9.01	50	11	500	1	1	0	0	0	0
1	0	16	16	1636	38	10	1300	1	0	0	1	0	0
1	1	25	18	-9.01	49	10	700	1	0	0	1	0	0
1	2	18	15	2000	39	10	700	1	0	0	1	0	0
1	2	8	15	3550	29	10	570	1	0	1	0	0	0
1	2	11	16	2500	33	10	1100	1	0	0	1	0	0
1	1	10	16	6000	32	10	1000	1	0	0	0	0	0
1	2	19	15	3281	40	10	1500	0	1	0	0	0	0
1	1	17	15	2195	38	11	1400	1	0	0	1	0	0
1	2	17	15	2500	38	10	920	1	0	1	0	0	0
1	1	5	17	1700	28	10	1650	0	0	0	0	0	0
1	1	23	15	3400	44	10	700	1	0	0	1	0	0
1	3	13	15	-9.01	34	10	1500	0	1	0	0	0	0
1	1	10	15	3750	31	11	600	1	0	0	1	0	0
1	1	21	17	2813	44	10	700	1	0	0	0	0	0
1	2	15	15	4500	36	10	1600	1	0	1	0	0	0
1	2	11	15	2300	32	10	550	1	0	0	1	0	0
1	0	28	16	2152	50	10	1500	0	0	0	1	0	0
1	1	6	16	4200	28	10	2700	1	0	0	0	0	0
1	2	16	15	2300	37	10	1900	1	0	0	1	0	0
1	2	17	15	-9.01	38	9	97	0	0	0	0	0	0
1	0	24	17	1700	47	10	530	1	0	0	1	0	0
1	1	15	16	1957	37	10	900	1	0	0	0	0	0
1	2	18	15	1636	39	10	1100	1	0	1	0	0	0
1	2	10	16	-9.01	32	10	1100	1	0	0	1	0	0
1	2	8	18	1125	32	10	1700	1	0	0	1	0	0
1	1	19	19	2411	44	9	1000	1	0	0	0	0	0
1	1	21	19	3000	46	10	550	1	0	0	1	0	0
1	1	2	15	2300	23	10	400	1	0	1	0	0	0
1	2	19	14	1800	39	9	1100	0	1	0	0	0	0
